역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
경찰병원,82.2,575.0,12.5,0.8,7070.0
미아사거리,90.0,548.0,30.0,0.8,42090.0
성신여대입구,93.1,620.0,51.0,0.8,38177.0
한성대입구,102.6,563.0,28.0,0.8,19742.0
동대문,100.1,671.0,25.7,0.8,62261.0
동대문역사문화공원,95.0,722.0,47.3,0.6,74147.0
충무로,93.7,646.0,46.0,0.7,29264.0
서울,96.5,746.0,25.7,0.7,137657.0
숙대입구,88.0,601.0,22.0,0.7,19748.0
삼각지,93.0,644.0,26.5,0.6,14676.0
신용산,91.1,587.0,38.5,0.6,17096.0
총신대입구,97.8,650.0,12.5,0.6,28495.0
남태령,92.6,572.0,42.0,0.6,1787.0
방화,71.7,424.0,28.0,1.7,8854.0
개화산,67.0,483.0,30.5,1.3,6849.0
김포공항,68.7,538.0,30.0,0.5,46502.0
송정,69.0,551.0,29.0,1.4,12585.0
마곡,82.0,538.0,30.5,1.5,5816.0
발산,96.8,440.0,35.5,1.3,17059.0
우장산,83.9,518.0,17.5,0.6,16837.0
화곡,72.5,418.0,28.5,0.6,34732.0
까치산,54.4,621.0,35.0,0.5,38057.0
신정,79.2,577.0,29.0,0.5,14756.0
목동,65.0,458.0,18.0,0.7,19338.0
오목교,69.5,617.0,32.3,0.6,32363.0
양평,61.0,429.0,30.5,0.7,11146.0
영등포구청,63.2,631.0,30.8,0.9,20695.0
영등포시장,72.9,529.0,29.0,0.8,11872.0
신길,72.9,609.0,20.3,0.5,14978.0
여의도,64.3,615.0,41.7,0.7,27342.0
여의나루,71.0,496.0,36.7,0.7,15700.0
마포,75.8,548.0,22.5,0.7,11320.0
공덕,67.8,598.0,24.0,0.5,33528.0
애오개,80.1,608.0,30.0,0.5,6759.0
충정로,64.5,486.0,24.7,0.2,13808.0
서대문,76.1,406.0,30.5,0.6,12208.0
광화문,81.2,633.0,44.0,0.9,52177.0
동대문역사문화공원,87.4,665.0,35.5,0.2,74147.0
청구,70.8,568.0,29.0,0.5,7800.0
신금호,74.9,424.0,23.0,0.6,7081.0
행당,80.4,642.0,27.5,0.6,9343.0
왕십리,70.4,477.0,36.3,0.5,58964.0
마장,73.9,393.0,28.5,0.7,7211.0
답십리,69.4,482.0,18.0,0.4,18620.0
장한평,83.7,560.0,32.5,0.6,21104.0
군자,72.1,594.0,32.0,0.6,31189.0
아차산,74.7,395.0,27.5,0.4,20256.0
광나루,93.9,403.0,30.0,0.6,16459.0
천호,72.4,418.0,34.7,0.4,62708.0
강동,91.0,486.0,35.0,0.8,21271.0
길동,83.0,554.0,33.0,0.5,10164.0
굽은다리,78.5,463.0,26.5,0.4,12653.0
명일,85.7,494.0,33.5,0.7,10690.0
고덕,79.2,437.0,28.0,0.7,9608.0
상일동,84.8,431.0,27.0,0.4,10958.0
둔촌동,78.3,483.0,35.0,0.8,12946.0
올림픽공원,88.5,595.0,31.5,0.9,6775.0
방이,85.9,472.0,43.5,0.6,8655.0
오금,82.0,545.0,19.5,0.8,10160.0
개롱,78.3,437.0,56.5,0.7,7191.0
거여,73.1,548.0,35.5,0.5,7617.0
마천,72.3,661.0,37.5,0.4,6909.0
응암,90.4,531.0,34.0,1.0,22616.0
역촌,86.9,515.0,36.5,0.7,5441.0
불광,90.4,656.0,46.0,0.7,36038.0
독바위,71.0,356.0,35.0,1.0,3853.0
연신내,83.6,588.0,49.0,0.8,56779.0
구산,80.7,436.0,47.0,0.7,8470.0
새절,81.5,456.0,34.0,0.7,15785.0
증산,86.7,442.0,30.5,0.7,13561.0
디지털미디어시티,73.7,500.0,44.7,0.5,23041.0
월드컵경기장,67.6,437.0,28.0,0.2,11660.0
마포구청,79.4,475.0,43.0,0.6,13881.0
망원,68.7,478.0,43.5,0.4,18509.0
합정,81.7,484.0,47.7,0.2,74347.0
상수,76.8,504.0,29.0,0.3,20552.0
광흥창,85.5,477.0,21.0,0.1,10182.0
대흥,70.6,463.0,29.0,0.6,7817.0
공덕,79.5,609.0,25.0,0.4,33528.0
효창공원앞,81.2,441.0,37.0,0.4,9529.0
삼각지,71.6,457.0,51.3,0.4,14676.0
녹사평,84.2,442.0,33.7,0.6,13361.0
이태원,73.7,566.0,44.0,0.6,55608.0
한강진,76.1,412.0,42.0,0.9,14808.0
버티고개,71.4,390.0,18.0,0.5,2779.0
약수,81.3,500.0,21.5,0.9,20566.0
청구,81.3,452.0,32.0,0.6,7800.0
신당,68.9,515.0,34.3,1.2,30617.0
동묘앞,69.0,482.0,42.3,0.8,40550.0
창신,72.0,418.0,71.0,0.6,3545.0
보문,70.0,465.0,94.4,0.8,10748.0
안암,76.0,520.0,52.5,0.7,12179.0
고려대,77.3,424.0,51.0,0.7,9616.0
월곡,65.9,443.0,52.5,0.7,14069.0
상월곡,81.9,403.0,30.5,0.6,7146.0
돌곶이,80.8,400.0,25.5,0.5,9929.0
석계,82.4,467.0,15.3,0.9,29894.0
태릉입구,84.7,421.0,26.7,0.8,16121.0
화랑대,86.5,435.0,27.3,0.7,11187.0
봉화산,74.3,404.0,17.5,0.9,9961.0
수락산,85.3,435.0,48.7,0.7,18399.0
마들,91.1,452.0,68.0,0.7,12413.0
노원,84.3,495.0,29.0,0.7,66652.0
중계,78.7,438.0,31.5,0.9,18007.0
하계,80.3,473.0,58.5,0.7,24959.0
공릉,79.3,434.0,67.0,0.4,15071.0
태릉입구,83.4,469.0,29.7,0.8,16121.0
먹골,78.6,427.0,41.0,0.8,12597.0
중화,72.5,450.0,36.0,0.6,13388.0
상봉,77.7,441.0,20.5,0.3,32466.0
면목,91.2,471.0,37.5,0.4,19218.0
사가정,87.0,574.0,32.0,0.7,20354.0
용마산,71.4,500.0,30.0,0.8,7729.0
중곡,81.7,411.0,35.0,1.0,12245.0
군자,77.5,613.0,39.0,0.8,31189.0
어린이대공원,73.4,494.0,16.0,0.9,17813.0
건대입구,74.6,456.0,33.3,1.0,111768.0
청담,73.5,487.0,17.3,0.9,16219.0
강남구청,77.1,586.0,24.0,0.8,16556.0
학동,77.2,455.0,32.5,0.8,14304.0
논현,80.4,449.0,15.0,0.9,14928.0
반포,77.9,503.0,12.7,0.9,6641.0
고속터미널,80.1,694.0,11.3,1.0,162039.0
내방,87.5,519.0,7.0,1.0,11586.0
남성,71.6,531.0,16.5,0.9,12850.0
숭실대입구,77.4,483.0,14.5,0.7,13870.0
상도,75.7,453.0,13.0,0.9,12053.0
장승배기,73.8,418.0,19.5,0.9,13086.0
신대방삼거리,79.5,403.0,17.5,0.8,17925.0
보라매,72.2,410.0,14.5,0.5,8407.0
신풍,71.4,398.0,20.0,1.0,16075.0
대림,87.1,507.0,13.5,0.8,79538.0
남구로,88.3,461.0,13.5,1.1,22041.0
가산디지털단지,77.1,491.0,25.3,0.8,41030.0
철산,72.9,479.0,13.5,0.6,29191.0
광명사거리,92.9,503.0,20.0,1.4,36911.0
천왕,78.8,413.0,16.3,0.5,9573.0
온수,72.2,400.0,29.7,0.2,19067.0
암사,82.9,457.0,16.0,1.2,21298.0
천호,72.8,442.0,31.5,0.8,62708.0
강동구청,77.7,489.0,12.0,1.2,12153.0
몽촌토성,85.5,749.0,19.0,0.9,12483.0
잠실,76.9,666.0,23.3,0.9,260055.0
석촌,92.0,702.0,23.5,1.0,15512.0
송파,84.1,445.0,20.0,0.7,6184.0
가락시장,78.7,452.0,25.0,1.0,20740.0
문정,84.6,520.0,24.0,1.1,8729.0
장지,82.8,588.0,22.0,1.1,27210.0
복정,85.3,546.0,23.0,0.9,13443.0
산성,77.5,391.0,25.0,0.7,7713.0
남한산성입구,75.1,530.0,23.0,0.9,15118.0
단대오거리,69.8,450.0,21.0,0.8,13931.0
신흥,82.1,514.0,23.0,0.6,7802.0
수진,75.8,512.0,30.5,1.0,8433.0
모란,77.2,482.0,11.0,0.7,35348.0
