역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
성신여대입구,81.9,580.0,6.3,0.1,43650.0
한성대입구,59.9,455.0,5.5,0.2,23429.0
혜화,43.2,551.0,7.3,0.4,59801.0
동대문,61.8,508.0,5.9,0.4,51604.0
동대문역사문화공원,47.4,601.0,9.1,0.3,56775.0
충무로,81.8,512.0,4.2,0.2,45363.0
명동,78.0,530.0,7.1,0.4,43371.0
회현,69.6,580.0,9.3,0.5,49178.0
서울,50.8,478.0,3.3,0.5,141462.0
숙대입구,60.5,571.0,6.7,0.3,21777.0
삼각지,66.1,539.0,10.4,0.3,18908.0
신용산,67.3,488.0,7.5,0.4,30196.0
이촌,53.2,530.0,6.0,0.1,19429.0
총신대입구,61.1,509.0,4.7,0.1,34542.0
사당,54.3,563.0,5.0,0.2,104301.0
남태령,74.0,412.0,2.8,0.2,1966.0
방화,27.1,483.5,3.4,0.6,11739.0
개화산,28.9,468.5,3.5,0.7,9649.0
김포공항,68.1,467.7,3.1,0.7,58196.0
송정,31.8,439.0,2.8,0.8,11814.0
마곡,66.9,477.0,3.4,0.9,17917.0
발산,43.7,448.0,3.2,0.8,33447.0
우장산,66.3,429.5,6.5,0.8,25377.0
화곡,40.9,495.0,6.0,0.8,50298.0
까치산,54.3,488.0,9.0,0.9,52293.0
신정,61.0,424.0,6.3,0.8,22301.0
목동,66.5,474.5,3.9,0.7,30533.0
오목교,53.3,491.3,4.5,0.8,42352.0
양평,49.2,442.5,4.1,0.8,17580.0
영등포구청,73.7,505.5,4.7,0.8,47121.0
영등포시장,67.8,517.0,7.7,0.8,18036.0
신길,60.4,448.3,6.8,0.9,21360.0
여의도,59.7,589.3,7.0,0.8,91184.0
여의나루,59.0,423.3,4.6,0.8,13864.0
마포,52.2,429.5,5.3,0.9,24230.0
공덕,33.5,424.3,3.9,0.8,65047.0
애오개,64.2,473.0,5.5,0.8,12358.0
충정로,52.0,437.0,4.6,0.8,24690.0
서대문,56.3,550.5,7.5,0.9,30331.0
광화문,43.2,561.7,6.4,0.9,50848.0
동대문역사문화공원,39.3,439.5,6.3,0.8,56775.0
청구,51.3,473.0,5.4,1.0,13185.0
신금호,75.5,440.0,6.6,0.9,11275.0
행당,56.8,451.5,4.7,1.0,13468.0
왕십리,72.9,461.7,6.9,0.8,65207.0
마장,66.1,438.0,6.0,0.9,10255.0
답십리,34.1,639.0,9.2,0.8,28112.0
장한평,36.7,562.0,7.0,1.0,33789.0
군자,37.7,704.3,8.6,0.8,45811.0
아차산,29.7,790.5,7.0,1.1,25934.0
광나루,28.5,446.0,5.7,1.0,22290.0
천호,30.5,688.3,6.5,1.0,66237.0
강동,49.3,454.8,4.1,0.8,30967.0
길동,27.3,442.0,4.5,0.8,15524.0
굽은다리,28.0,435.0,4.0,0.9,17637.0
명일,27.9,447.0,3.7,0.8,15313.0
고덕,47.7,451.0,5.7,0.8,16568.0
상일동,67.8,448.5,5.6,0.7,25590.0
미사,33.9,463.3,3.9,0.7,28166.0
하남풍산,33.5,484.0,4.4,0.7,7369.0
둔촌동,40.1,457.5,3.5,0.9,15341.0
올림픽공원,43.3,474.5,4.5,0.8,22136.0
방이,66.1,467.5,5.3,0.8,12204.0
오금,73.5,471.0,5.1,0.9,15928.0
개롱,68.9,478.5,6.9,0.9,11286.0
거여,74.9,507.5,6.8,1.1,15743.0
마천,25.5,487.0,4.6,0.9,11812.0
응암,60.1,478.0,6.8,0.8,31886.0
역촌,39.1,471.0,5.4,0.9,7650.0
불광,46.6,468.0,4.7,0.9,38486.0
독바위,51.6,463.0,4.7,0.9,4771.0
연신내,68.4,455.0,4.6,1.0,66151.0
구산,77.6,460.5,5.1,1.1,12053.0
새절,47.7,476.5,4.2,1.0,21823.0
증산,52.1,474.5,3.8,0.9,18039.0
디지털미디어시티,78.2,486.7,6.5,0.9,48224.0
월드컵경기장,57.0,501.0,4.8,1.0,7356.0
마포구청,75.1,481.0,4.8,1.0,24066.0
망원,57.5,485.5,4.4,1.1,28607.0
합정,36.1,487.0,5.9,0.9,83109.0
상수,30.0,487.5,5.4,0.9,17129.0
광흥창,32.8,466.5,5.0,1.0,14923.0
대흥,36.0,499.0,5.0,1.1,13784.0
공덕,44.0,481.7,3.5,0.8,65047.0
효창공원앞,44.4,461.0,4.2,0.8,17061.0
삼각지,58.4,503.7,5.7,0.9,18908.0
녹사평,37.0,472.7,5.6,0.9,9722.0
이태원,45.5,452.0,5.0,0.9,22121.0
한강진,47.4,453.0,5.3,0.9,18398.0
버티고개,44.7,465.0,6.2,0.9,3521.0
약수,65.6,485.0,6.8,0.9,29434.0
청구,50.7,493.0,9.0,0.9,13185.0
신당,47.3,552.7,9.5,0.8,40264.0
동묘앞,51.6,550.7,8.3,0.9,28516.0
창신,45.1,532.0,9.7,0.9,5506.0
보문,51.0,531.0,11.0,0.9,15175.0
안암,32.0,531.0,7.3,0.9,16505.0
고려대,31.2,489.5,5.5,0.9,13398.0
월곡,65.8,467.0,4.6,0.9,20138.0
상월곡,45.6,468.5,6.4,0.9,10461.0
돌곶이,45.2,499.0,7.3,1.0,16076.0
석계,47.7,492.7,7.0,1.0,37948.0
태릉입구,64.6,485.3,4.9,1.0,24887.0
화랑대,38.3,473.3,5.7,1.0,17982.0
봉화산,36.5,457.0,4.7,1.0,15161.0
수락산,61.2,464.0,8.2,1.1,22475.0
마들,35.0,467.0,8.3,0.9,22633.0
노원,35.1,488.7,9.1,1.0,79232.0
중계,30.3,423.0,8.1,0.9,23240.0
하계,30.4,445.5,5.1,0.9,30833.0
공릉,35.7,487.5,5.8,0.9,20918.0
태릉입구,38.2,462.7,5.8,0.9,24887.0
먹골,36.3,460.5,8.8,0.9,18549.0
중화,23.8,439.5,7.5,0.9,19596.0
상봉,41.5,548.5,9.4,1.0,41624.0
면목,45.0,451.0,8.4,0.9,28147.0
사가정,44.2,450.5,8.7,0.9,29735.0
용마산,31.8,466.5,7.9,0.9,10616.0
중곡,40.8,449.0,6.6,0.9,18779.0
군자,47.5,457.5,6.9,0.9,45811.0
어린이대공원,32.3,467.0,9.5,1.0,22030.0
건대입구,36.7,487.3,10.6,1.0,96527.0
청담,34.2,505.5,7.5,0.8,33277.0
강남구청,31.6,440.3,6.5,0.9,44958.0
학동,31.2,442.5,8.7,0.9,38209.0
논현,35.2,489.0,9.9,1.2,34460.0
반포,58.3,500.7,10.6,0.9,10206.0
고속터미널,63.2,593.3,15.0,1.1,154462.0
내방,37.4,495.5,8.4,1.1,24709.0
남성,39.9,449.0,8.1,1.7,18638.0
숭실대입구,40.3,477.5,8.5,0.8,19613.0
상도,45.7,452.0,9.5,0.8,18042.0
장승배기,42.3,445.5,7.8,0.9,16730.0
신대방삼거리,46.7,481.5,9.0,1.8,29103.0
보라매,35.0,468.0,7.3,0.9,16475.0
신풍,48.6,526.0,14.4,0.9,20155.0
대림,39.9,549.5,12.9,0.8,61165.0
남구로,53.2,538.0,16.8,0.8,28281.0
가산디지털단지,54.0,552.0,14.6,0.8,99939.0
철산,63.7,489.5,7.9,0.9,38589.0
광명사거리,52.0,441.0,6.2,0.9,42469.0
천왕,54.1,466.0,6.8,0.8,19355.0
온수,55.6,450.7,6.4,0.8,28354.0
암사,26.3,451.0,13.4,1.0,31552.0
천호,34.0,505.5,11.2,1.1,66237.0
강동구청,31.3,448.0,13.0,1.0,18813.0
몽촌토성,35.3,527.0,7.0,0.9,10407.0
잠실,24.8,634.7,10.0,1.0,169205.0
석촌,31.5,478.0,9.6,1.0,29814.0
송파,32.6,441.0,5.7,1.0,14078.0
가락시장,29.1,449.0,6.8,1.0,29807.0
문정,30.1,480.5,7.0,1.1,32424.0
장지,29.8,462.0,7.0,1.0,29720.0
복정,29.1,447.5,6.0,0.9,14489.0
산성,36.0,436.5,10.5,0.8,9275.0
남한산성입구,36.4,521.5,11.7,1.2,22314.0
단대오거리,31.4,444.0,6.9,1.0,18470.0
신흥,39.2,458.0,14.8,1.1,8937.0
수진,36.8,459.5,19.7,1.0,9621.0
모란,39.8,473.0,10.6,0.9,44452.0
