Unnamed: 0,호선,역코드,역명,AIRPRESSURE,CO2,HUMIDITY,PM10,PM2.5,TEMPERATURE,호선명,역번호,설치대수,제조사,모델명,적용면적,처리용량,Purifier_Need,위도,경도
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Additional Purifiers Needed,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
5,1,153,종로3가,126,137,25,251,244,125,1호선,153,24,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.571537,126.991237
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Oversaturated,37.572546,126.990447
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.570429,126.992095
6,1,153,종로3가,126,137,25,251,244,125,3호선,319,14,보성전자,BAS-ST9000A,197.4,25.6,Optimal,37.571537,126.991237
